category,view,like,dislike,month,year
Game,6255373,246074,4565,4,2016
Game,1370969,46690,1977,4,2016
Game,6788271,0,0,4,2016
Game,3126606,144094,2975,4,2016
Game,6874163,313187,7948,4,2016
Blog &amp; Orang,4375775,270635,2741,4,2016
Game,7718837,435506,10898,4,2016
Game,11453727,575521,8736,4,2016
Game,1266348,44034,755,4,2016
Game,16170624,501535,6399,4,2016
Game,3830232,181722,1694,4,2016
Game,6039091,211953,4428,4,2016
Game,7239816,170061,7916,4,2016
Game,4470706,182475,2509,5,2016
Game,4352867,115713,1335,5,2016
Game,4220321,170034,3928,5,2016
Game,2933276,96339,1324,5,2016
Game,7431740,301236,3611,5,2016
Game,4866443,247896,2358,5,2016
Game,9183519,455763,4830,5,2016
Game,2321045,106935,2016,5,2016
Game,6788048,431367,17775,5,2016
Game,4380117,211036,2247,5,2016
Game,26942604,1165769,37391,5,2016
Game,6389804,227463,13141,5,2016
Game,6789546,349914,8764,5,2016
Game,3013627,138374,1315,5,2016
Game,11309620,453733,7766,5,2016
Game,5067235,297528,3796,5,2016
Game,4700466,211707,4825,5,2016
Mobil &amp; Otomotif,11403878,440135,16162,5,2016
Game,3210229,107187,5041,5,2016
Game,6183738,269114,4778,5,2016
Game,2777216,83718,1181,5,2016
Game,4753656,257247,3083,5,2016
Game,7263074,249292,6204,5,2016
Game,3729641,140425,1230,5,2016
Game,3201780,132817,3625,5,2016
Game,4356901,208408,1038,5,2016
Game,8870932,349930,6308,5,2016
Game,3262240,110142,1061,5,2016
Game,3168519,98312,1171,5,2016
Game,2541983,80277,805,5,2016
Game,2537880,80965,895,5,2016
Game,4675811,153158,4852,5,2016
Game,7066785,256426,4067,5,2016
Game,6566142,317604,5670,5,2016
Game,5849559,217462,2423,5,2016
Game,5111308,237499,5403,5,2016
Game,2624557,87647,962,5,2016
Game,1636090,46888,1847,5,2016
Game,9305945,458383,28716,5,2016
Game,3172430,197773,2616,5,2016
Game,6268061,258712,9014,5,2016
Game,3185093,99773,1250,5,2016
Game,5749627,262770,5469,5,2016
Game,7675438,456123,3144,5,2016
Game,2758055,93645,1149,5,2016
Game,3495679,127421,2483,6,2016
Game,6326248,222036,2888,6,2016
Game,6106499,256638,2594,6,2016
Game,4988177,199867,4071,6,2016
Game,17877539,576331,7076,6,2016
Game,7728836,363597,5755,6,2016
Game,1925446,62869,1172,6,2016
Game,4358358,160415,3319,6,2016
Game,5257902,306621,2544,6,2016
Game,2345971,74489,1383,6,2016
Game,4761383,197436,4858,6,2016
Game,5794695,209896,5613,6,2016
Game,6180516,226718,14566,6,2016
Game,3694630,160914,1783,6,2016
Game,3703170,203858,1497,6,2016
Game,2497028,93732,1681,6,2016
Game,6253838,361586,8556,6,2016
Game,5269265,318763,3869,6,2016
Game,3452007,192876,1532,6,2016
Game,5703210,362045,5148,6,2016
Game,4077186,213966,4125,6,2016
Game,2390493,67792,1466,6,2016
Game,8146001,258350,10198,6,2016
Game,2971541,87516,1800,6,2016
Game,4088119,196376,3525,6,2016
Game,8086236,360552,8229,6,2016
Game,10827827,550564,6896,6,2016
Game,2240204,82435,1432,6,2016
Game,5223194,266785,3591,6,2016
Game,4875937,165140,4515,6,2016
Game,11336106,346073,4286,6,2016
Game,8705951,519909,12405,6,2016
Game,9884733,662365,4717,6,2016
Game,17027844,792680,14046,6,2016
Game,1692847,50271,1176,6,2016
Game,4510589,173733,4917,6,2016
Game,8379104,581455,31084,6,2016
